,cursor,name_with_owner,name,url,stargazer_count,pr_count
0,Y3Vyc29yOjUx,vercel/next.js,next.js,https://github.com/vercel/next.js,65363,7768
0,Y3Vyc29yOjUy,FortAwesome/Font-Awesome,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,65319,588
0,Y3Vyc29yOjUz,iluwatar/java-design-patterns,java-design-patterns,https://github.com/iluwatar/java-design-patterns,65034,1000
0,Y3Vyc29yOjU0,laravel/laravel,laravel,https://github.com/laravel/laravel,64620,3921
0,Y3Vyc29yOjU2,avelino/awesome-go,awesome-go,https://github.com/avelino/awesome-go,63266,3236
0,Y3Vyc29yOjU3,goldbergyoni/nodebestpractices,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,62813,670
0,Y3Vyc29yOjU4,storybookjs/storybook,storybook,https://github.com/storybookjs/storybook,60170,6779
0,Y3Vyc29yOjU5,moby/moby,moby,https://github.com/moby/moby,59957,21065
0,Y3Vyc29yOjYw,vuejs/awesome-vue,awesome-vue,https://github.com/vuejs/awesome-vue,59776,3420
0,Y3Vyc29yOjYx,nvbn/thefuck,thefuck,https://github.com/nvbn/thefuck,59658,517
0,Y3Vyc29yOjYy,angular/angular.js,angular.js,https://github.com/angular/angular.js,59586,7896
0,Y3Vyc29yOjYz,webpack/webpack,webpack,https://github.com/webpack/webpack,57890,4512
0,Y3Vyc29yOjY0,django/django,django,https://github.com/django/django,56603,14029
0,Y3Vyc29yOjY1,gothinkster/realworld,realworld,https://github.com/gothinkster/realworld,56602,209
0,Y3Vyc29yOjY2,hakimel/reveal.js,reveal.js,https://github.com/hakimel/reveal.js,55910,814
0,Y3Vyc29yOjY3,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,55670,1853
0,Y3Vyc29yOjY4,reduxjs/redux,redux,https://github.com/reduxjs/redux,55646,2122
0,Y3Vyc29yOjY5,apple/swift,swift,https://github.com/apple/swift,55637,36294
0,Y3Vyc29yOjcw,tonsky/FiraCode,FiraCode,https://github.com/tonsky/FiraCode,55105,141
0,Y3Vyc29yOjcx,atom/atom,atom,https://github.com/atom/atom,54752,4918
0,Y3Vyc29yOjcy,jquery/jquery,jquery,https://github.com/jquery/jquery,54703,2666
0,Y3Vyc29yOjcz,pallets/flask,flask,https://github.com/pallets/flask,54405,1849
0,Y3Vyc29yOjc0,spring-projects/spring-boot,spring-boot,https://github.com/spring-projects/spring-boot,54373,4648
0,Y3Vyc29yOjc1,elastic/elasticsearch,elasticsearch,https://github.com/elastic/elasticsearch,54365,44129
0,Y3Vyc29yOjc2,rust-lang/rust,rust,https://github.com/rust-lang/rust,53639,44790
0,Y3Vyc29yOjc3,opencv/opencv,opencv,https://github.com/opencv/opencv,53476,11852
0,Y3Vyc29yOjc5,Semantic-Org/Semantic-UI,Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,49145,755
0,Y3Vyc29yOjgw,chartjs/Chart.js,Chart.js,https://github.com/chartjs/Chart.js,53105,2983
0,Y3Vyc29yOjgx,socketio/socket.io,socket.io,https://github.com/socketio/socket.io,53014,765
0,Y3Vyc29yOjgy,expressjs/express,express,https://github.com/expressjs/express,52593,968
0,Y3Vyc29yOjgz,microsoft/PowerToys,PowerToys,https://github.com/microsoft/PowerToys,52545,2541
0,Y3Vyc29yOjg1,netdata/netdata,netdata,https://github.com/netdata/netdata,52086,4636
0,Y3Vyc29yOjg2,shadowsocks/shadowsocks-windows,shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,51981,456
0,Y3Vyc29yOjg3,bitcoin/bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,51698,14651
0,Y3Vyc29yOjg4,yangshun/tech-interview-handbook,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,51232,167
0,Y3Vyc29yOjg5,gohugoio/hugo,hugo,https://github.com/gohugoio/hugo,51088,3008
0,Y3Vyc29yOjkx,keras-team/keras,keras,https://github.com/keras-team/keras,50974,4062
0,Y3Vyc29yOjkz,chrislgarry/Apollo-11,Apollo-11,https://github.com/chrislgarry/Apollo-11,50573,379
0,Y3Vyc29yOjk0,httpie/httpie,httpie,https://github.com/httpie/httpie,50368,271
0,Y3Vyc29yOjk1,thedaviddias/Front-End-Checklist,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,50062,268
0,Y3Vyc29yOjk2,gatsbyjs/gatsby,gatsby,https://github.com/gatsbyjs/gatsby,49709,17248
0,Y3Vyc29yOjk3,josephmisiti/awesome-machine-learning,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,49624,707
0,Y3Vyc29yOjk4,ElemeFE/element,element,https://github.com/ElemeFE/element,49618,4284
0,Y3Vyc29yOjk5,h5bp/html5-boilerplate,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,49495,1232
0,Y3Vyc29yOjEwMQ==,lodash/lodash,lodash,https://github.com/lodash/lodash,48882,1106
0,Y3Vyc29yOjEwMg==,ryanmcdermott/clean-code-javascript,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,48821,214
0,Y3Vyc29yOjEwMw==,h5bp/Front-end-Developer-Interview-Questions,Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,48581,527
0,Y3Vyc29yOjEwNA==,resume/resume.github.com,resume.github.com,https://github.com/resume/resume.github.com,48312,168
0,Y3Vyc29yOjEwNQ==,redis/redis,redis,https://github.com/redis/redis,48262,3300
0,Y3Vyc29yOjEwNg==,rails/rails,rails,https://github.com/rails/rails,48120,26747
0,Y3Vyc29yOjEwOA==,nvm-sh/nvm,nvm,https://github.com/nvm-sh/nvm,47953,839
